Agent,Personal_Score,Shared_Score,Personal_Confidence,Shared_Confidence,Overall_Score,Overall_Confidence
"Christine ""Lady Bird"" McPherson",8.88888888888889,8.555555555555555,0.9111111111111112,0.8999999999999999,8.722222222222221,0.9055555555555556
Skyler White,8.88888888888889,8.555555555555555,0.9166666666666666,0.9055555555555556,8.722222222222221,0.9111111111111111
Fallon Carrington,8.555555555555555,8.777777777777779,0.8888888888888888,0.9000000000000001,8.666666666666668,0.8944444444444445
Michael Scott,8.555555555555555,8.333333333333334,0.8833333333333333,0.8999999999999999,8.444444444444445,0.8916666666666666
Love Quinn,8.555555555555555,8.444444444444445,0.8777777777777778,0.8888888888888888,8.5,0.8833333333333333
Walter White,8.444444444444445,8.666666666666666,0.8888888888888888,0.9111111111111112,8.555555555555555,0.9
Dwight K. Schrute,8.444444444444445,7.888888888888889,0.8944444444444444,0.8777777777777778,8.166666666666668,0.8861111111111111
Tyler Durden,8.333333333333334,7.666666666666667,0.8888888888888888,0.8777777777777779,8.0,0.8833333333333333
Joe Biden,8.333333333333334,7.666666666666667,0.8888888888888888,0.8611111111111112,8.0,0.875
Hannibal Lecter,7.888888888888889,8.11111111111111,0.8666666666666667,0.8777777777777778,8.0,0.8722222222222222
